French,Finnish
partie,osa
histoire,historia
chercher,etsiä
seulement,vain
police,poliisi
pensais,ajatus
aide,auttaa
demande,pyytää
genre,ystävällinen
mois,kuukausi
frère,veli
laisser,antaa/sallia
car,koska
mettre,laittaa/asettaa
aucun,ei
laisse,talutin/hihna
eux,ne
ville,kaupunki
chaque,jokainen
parlé,puhua
arrivé,saapua
devrait,pitäisi
bébé,vauva
longtemps,pitkä aika
heures,aika
vont,tahtoa
pendant,sillä aikaa
revoir,tavata uudestaan
aucune,mikä tahansa
place,neliö
parle,puhua
compris,ymmärsi
savais,tiesi
étaient,olivat
attention,varoitus
voici,täällä on
pourrais,voisi
affaire,tapaus
donner,antaa
type,tyyppi
leurs,heidän
donné,annettu
train,juna
corps,keho
endroit,paikka
yeux,silmät
façon,tapa
écoute,kuunnella
dont,joiden
trouve,etsiä
premier,ensimmäinen
perdu,kadonnut
main,käsi
première,ensimmäinen
côté,puoli/reuna
pouvoir,voima
vieux,vanha
sois,olla/voida
tiens,tässä
matin,aamu
tellement,niin paljon
enfant,lapsi
point,asia
venu,tuli
suite,jälkeen
pardon,anteeksi
venez,tulla
devant,edessä
vers,kohti
minutes,minuutit
demandé,pyyntö
chambre,makuuhuone
mis,sijoitettu
belle,kaunis
droit,laki
aimerais,haluaisi
aujourd'hui,tänään
mari,aviomies
cause,syy
enfin,lopulta
espère,toivo
eau,vesi
attendez,odottaa
parti,vasemmalle
nouvelle,uusi
boulot,työ
arrêter,pysähtyä
dirait,sanoisi
terre,maa
compte,tili
donne,annettu
loin,kaukana
fin,loppu
croire,uskoa
chérie,rakas
gros,suuri
plutôt,sen sijaan
aura,tulee olemaan
filles,tytöt
jouer,pelata
bureau,toimisto